Country,"GDP(nominal,2022)",GDP(abrrev.),GDP_growth,population,GDP_per_capita,Share of world GDP
United States,"$25,462,700,000,000",$25.463 trillion,2.06%,"341,534,046","$74,554",25.32%
China,"$17,963,200,000,000",$17.963 trillion,2.99%,"1,425,179,569","$12,604",17.86%
Japan,"$4,231,140,000,000",$4.231 trillion,1.03%,"124,997,578","$33,850",4.21%
Germany,"$4,072,190,000,000",$4.072 trillion,1.79%,"84,086,227","$48,429",4.05%
India,"$3,385,090,000,000",$3.385 trillion,7.00%,"1,425,423,212","$2,375",3.37%
United Kingdom,"$3,070,670,000,000",$3.071 trillion,4.10%,"68,179,315","$45,038",3.05%
France,"$2,782,910,000,000",$2.783 trillion,2.56%,"66,277,409","$41,989",2.77%
Russia,"$2,240,420,000,000",$2.240 trillion,-2.07%,"145,579,899","$15,390",2.23%
Canada,"$2,139,840,000,000",$2.140 trillion,3.40%,"38,821,259","$55,120",2.13%
Italy,"$2,010,430,000,000",$2.010 trillion,3.67%,"59,619,115","$33,721",2.00%
Brazil,"$1,920,100,000,000",$1.920 trillion,2.90%,"210,306,415","$9,130",1.91%
Australia,"$1,675,420,000,000",$1.675 trillion,3.62%,"26,200,984","$63,945",1.67%
South Korea,"$1,665,250,000,000",$1.665 trillion,2.56%,"51,782,512","$32,159",1.66%
Mexico,"$1,414,190,000,000",$1.414 trillion,3.06%,"128,613,117","$10,996",1.41%
Spain,"$1,397,510,000,000",$1.398 trillion,5.45%,"47,828,382","$29,219",1.39%
Indonesia,"$1,319,100,000,000",$1.319 trillion,5.31%,"278,830,529","$4,731",1.31%
Saudi Arabia,"$1,108,150,000,000",$1.108 trillion,8.74%,"32,175,352","$34,441",1.10%
Netherlands,"$991,115,000,000",$991 billion,4.48%,"17,904,421","$55,356",0.99%
Turkey,"$905,988,000,000",$906 billion,5.57%,"87,058,473","$10,407",0.90%
Switzerland,"$807,706,000,000",$808 billion,2.06%,"8,792,182","$91,866",0.80%
Poland,"$688,177,000,000",$688 billion,4.87%,"38,385,739","$17,928",0.68%
Argentina,"$632,770,000,000",$633 billion,5.24%,"45,407,904","$13,935",0.63%
Sweden,"$585,939,000,000",$586 billion,2.64%,"10,487,338","$55,871",0.58%
