country,gdp_nominal_2022,gdp_abbrevated,gdp_growth_percentage,population,gdp_per_capita,worldgdp_share_percentage
United States,25462700000000.0,$25.463 trillion,2.06,341534046.0,"$74,554",25.32
China,17963200000000.0,$17.963 trillion,2.99,1425179569.0,"$12,604",17.86
Japan,4231140000000.0,$4.231 trillion,1.03,124997578.0,"$33,850",4.21
Germany,4072190000000.0,$4.072 trillion,1.79,84086227.0,"$48,429",4.05
India,3385090000000.0,$3.385 trillion,7.0,1425423212.0,"$2,375",3.37
United Kingdom,3070670000000.0,$3.071 trillion,4.1,68179315.0,"$45,038",3.05
France,2782910000000.0,$2.783 trillion,2.56,66277409.0,"$41,989",2.77
Russia,2240420000000.0,$2.240 trillion,-2.07,145579899.0,"$15,390",2.23
Canada,2139840000000.0,$2.140 trillion,3.4,38821259.0,"$55,120",2.13
Italy,2010430000000.0,$2.010 trillion,3.67,59619115.0,"$33,721",2.0
Brazil,1920100000000.0,$1.920 trillion,2.9,210306415.0,"$9,130",1.91
Australia,1675420000000.0,$1.675 trillion,3.62,26200984.0,"$63,945",1.67
South Korea,1665250000000.0,$1.665 trillion,2.56,51782512.0,"$32,159",1.66
Mexico,1414190000000.0,$1.414 trillion,3.06,128613117.0,"$10,996",1.41
Spain,1397510000000.0,$1.398 trillion,5.45,47828382.0,"$29,219",1.39
Indonesia,1319100000000.0,$1.319 trillion,5.31,278830529.0,"$4,731",1.31
Saudi Arabia,1108150000000.0,$1.108 trillion,8.74,32175352.0,"$34,441",1.1
Netherlands,991115000000.0,$991 billion,4.48,17904421.0,"$55,356",0.99
Turkey,905988000000.0,$906 billion,5.57,87058473.0,"$10,407",0.9
Switzerland,807706000000.0,$808 billion,2.06,8792182.0,"$91,866",0.8
Poland,688177000000.0,$688 billion,4.87,38385739.0,"$17,928",0.68
Argentina,632770000000.0,$633 billion,5.24,45407904.0,"$13,935",0.63
Sweden,585939000000.0,$586 billion,2.64,10487338.0,"$55,871",0.58
Norway,579267000000.0,$579 billion,3.28,5456801.0,"$106,155",0.58
Belgium,578604000000.0,$579 billion,3.25,11641820.0,"$49,700",0.58
Ireland,529245000000.0,$529 billion,11.97,5110016.0,"$103,570",0.53
Israel,522033000000.0,$522 billion,6.46,9103151.0,"$57,346",0.52
United Arab Emirates,507535000000.0,$508 billion,7.41,10242086.0,"$49,554",0.5
Thailand,495341000000.0,$495 billion,2.59,71735329.0,"$6,905",0.49
Nigeria,477386000000.0,$477 billion,3.25,223150896.0,"$2,139",0.47
Egypt,476748000000.0,$477 billion,6.59,112618250.0,"$4,233",0.47
Austria,471400000000.0,$471 billion,5.0,9064677.0,"$52,004",0.47
Singapore,466789000000.0,$467 billion,3.65,5649885.0,"$82,619",0.46
Bangladesh,460201000000.0,$460 billion,7.1,169384897.0,"$2,717",0.46
Vietnam,408802000000.0,$409 billion,8.02,99680655.0,"$4,101",0.41
Malaysia,406306000000.0,$406 billion,8.69,34695493.0,"$11,711",0.4
South Africa,405870000000.0,$406 billion,2.04,62378410.0,"$6,507",0.4
Philippines,404284000000.0,$404 billion,7.57,113964338.0,"$3,547",0.4
Denmark,395404000000.0,$395 billion,3.82,5902904.0,"$66,985",0.39
Iran,388544000000.0,$389 billion,2.75,89524246.0,"$4,340",0.39
Pakistan,376533000000.0,$377 billion,6.19,243700667.0,"$1,545",0.37
Hong Kong,359839000000.0,$360 billion,-3.48,7465915.0,"$48,198",0.36
Colombia,343939000000.0,$344 billion,7.5,51737944.0,"$6,648",0.34
Romania,301262000000.0,$301 billion,4.79,19166772.0,"$15,718",0.3
Chile,301025000000.0,$301 billion,2.44,19553036.0,"$15,395",0.3
Czech Republic (Czechia),290924000000.0,$291 billion,2.46,10673213.0,"$27,257",0.29
Finland,280826000000.0,$281 billion,2.08,5569299.0,"$50,424",0.28
Iraq,264182000000.0,$264 billion,7.01,44070551.0,"$5,995",0.26
Portugal,251945000000.0,$252 billion,6.69,10417073.0,"$24,186",0.25
New Zealand,247234000000.0,$247 billion,2.16,5131734.0,"$48,177",0.25
Peru,242632000000.0,$243 billion,2.68,33475438.0,"$7,248",0.24
Qatar,237296000000.0,$237 billion,4.83,2892455.0,"$82,040",0.24
Kazakhstan,220623000000.0,$221 billion,3.2,20034609.0,"$11,012",0.22
Greece,219066000000.0,$219 billion,5.91,10412480.0,"$21,039",0.22
Algeria,191913000000.0,$192 billion,3.1,45477389.0,"$4,220",0.19
Kuwait,184558000000.0,$185 billion,8.18,4589511.0,"$40,213",0.18
Hungary,178789000000.0,$179 billion,4.58,9684306.0,"$18,462",0.18
Ukraine,160503000000.0,$161 billion,-29.1,41048766.0,"$3,910",0.16
Morocco,134182000000.0,$134 billion,1.08,37329064.0,"$3,595",0.13
Ethiopia,126783000000.0,$127 billion,5.32,125384287.0,"$1,011",0.13
Slovakia,115469000000.0,$115 billion,1.67,5473197.0,"$21,097",0.11
Ecuador,115049000000.0,$115 billion,2.95,17823897.0,"$6,455",0.11
Oman,114667000000.0,$115 billion,4.31,4730226.0,"$24,241",0.11
Dominican Republic,113642000000.0,$114 billion,4.86,11230734.0,"$10,119",0.11
Kenya,113420000000.0,$113 billion,4.85,54252461.0,"$2,091",0.11
Angola,106714000000.0,$107 billion,3.05,35635029.0,"$2,995",0.11
Guatemala,95003333381.0,$95.00 billion,4.12,17847877.0,"$5,323",0.09
Bulgaria,89040398406.0,$89.04 billion,3.36,6825864.0,"$13,045",0.09
Luxembourg,82274812251.0,$82.27 billion,1.55,653313.0,"$125,935",0.08
Uzbekistan,80391853885.0,$80.39 billion,5.67,34938955.0,"$2,301",0.08
Azerbaijan,78721058824.0,$78.72 billion,4.62,10295304.0,"$7,646",0.08
Panama,76522511781.0,$76.52 billion,10.81,4400773.0,"$17,388",0.08
Tanzania,75709289056.0,$75.71 billion,4.56,64711821.0,"$1,170",0.08
Sri Lanka,74403578363.0,$74.40 billion,-7.82,22834965.0,"$3,258",0.07
Ghana,72838798788.0,$72.84 billion,3.24,33149152.0,"$2,197",0.07
Belarus,72793457588.0,$72.79 billion,-4.7,9173237.0,"$7,935",0.07
Uruguay,71177146197.0,$71.18 billion,4.92,3390913.0,"$20,991",0.07
Croatia,70964606465.0,$70.96 billion,6.33,3907027.0,"$18,163",0.07
Lithuania,70334299008.0,$70.33 billion,1.89,2816919.0,"$24,969",0.07
Côte d'Ivoire,70018715017.0,$70.02 billion,6.74,30395002.0,"$2,304",0.07
Costa Rica,68380838316.0,$68.38 billion,4.31,5081765.0,"$13,456",0.07
Serbia,63501748652.0,$63.50 billion,2.25,6791213.0,"$9,351",0.06
Slovenia,62117768015.0,$62.12 billion,5.37,2115228.0,"$29,367",0.06
Myanmar,59364362541.0,$59.36 billion,3.0,53756787.0,"$1,104",0.06
DR Congo,58065953573.0,$58.07 billion,8.92,102396968.0,$567,0.06
Sudan,51662241775.0,$51.66 billion,-0.95,49383346.0,"$1,046",0.05
Jordan,47451499859.0,$47.45 billion,2.5,11256263.0,"$4,216",0.05
Tunisia,46664948952.0,$46.66 billion,2.52,12119334.0,"$3,850",0.05
Libya,45752336036.0,$45.75 billion,-1.24,7223805.0,"$6,334",0.05
Uganda,45559202049.0,$45.56 billion,4.65,47312719.0,$963,0.05
Bahrain,44390820479.0,$44.39 billion,4.86,1533459.0,"$28,948",0.04
Cameroon,44341646509.0,$44.34 billion,3.54,27632771.0,"$1,605",0.04
Bolivia,43068885673.0,$43.07 billion,3.07,12077154.0,"$3,566",0.04
Paraguay,41722295362.0,$41.72 billion,0.08,6760464.0,"$6,172",0.04
Latvia,41153912663.0,$41.15 billion,1.98,1881063.0,"$21,878",0.04
Nepal,40828247302.0,$40.83 billion,5.61,29715436.0,"$1,374",0.04
Estonia,38100812959.0,$38.10 billion,-1.29,1350091.0,"$28,221",0.04
El Salvador,32488720000.0,$32.49 billion,2.6,6280319.0,"$5,173",0.03
Honduras,31717700115.0,$31.72 billion,4.0,10463872.0,"$3,031",0.03
Papua New Guinea,30633444295.0,$30.63 billion,4.6,10203169.0,"$3,002",0.03
Cambodia,29956769529.0,$29.96 billion,5.16,17201724.0,"$1,741",0.03
Zambia,29784454056.0,$29.78 billion,4.74,20152938.0,"$1,478",0.03
Cyprus,28439052741.0,$28.44 billion,5.63,1331370.0,"$21,361",0.03
Trinidad and Tobago,27899082337.0,$27.90 billion,2.48,1495921.0,"$18,650",0.03
Iceland,27841648044.0,$27.84 billion,6.44,380356.0,"$73,199",0.03
Senegal,27684430244.0,$27.68 billion,4.15,17651103.0,"$1,568",0.03
Georgia,24605375420.0,$24.61 billion,10.11,3794784.0,"$6,484",0.02
Bosnia and Herzegovina,24527507288.0,$24.53 billion,3.9,3204802.0,"$7,653",0.02
Macao,21979475561.0,$21.98 billion,-26.76,704356.0,"$31,205",0.02
Guinea,21227749389.0,$21.23 billion,4.7,14055137.0,"$1,510",0.02
Gabon,21071739228.0,$21.07 billion,3.04,2430747.0,"$8,669",0.02
Zimbabwe,20678055598.0,$20.68 billion,3.4,16069056.0,"$1,287",0.02
Botswana,20352322157.0,$20.35 billion,5.78,2439892.0,"$8,341",0.02
Haiti,20253551885.0,$20.25 billion,-1.68,11503606.0,"$1,761",0.02
Armenia,19502783988.0,$19.50 billion,12.6,2880874.0,"$6,770",0.02
State of Palestine,19111900000.0,$19.11 billion,3.93,5305270.0,"$3,602",0.02
Burkina Faso,18884619613.0,$18.88 billion,1.48,22509038.0,$839,0.02
Albania,18882095518.0,$18.88 billion,4.84,2827608.0,"$6,678",0.02
Mali,18827176532.0,$18.83 billion,3.69,23072640.0,$816,0.02
Mozambique,17851491428.0,$17.85 billion,4.15,32656246.0,$547,0.02
Malta,17765270015.0,$17.77 billion,6.85,528192.0,"$33,634",0.02
Benin,17401746309.0,$17.40 billion,6.25,13759501.0,"$1,265",0.02
Jamaica,17097760745.0,$17.10 billion,4.2,2839144.0,"$6,022",0.02
Mongolia,16810883361.0,$16.81 billion,4.85,3386015.0,"$4,965",0.02
Brunei,16681531646.0,$16.68 billion,-1.63,455370.0,"$36,633",0.02
Laos,15724383783.0,$15.72 billion,2.71,7559007.0,"$2,080",0.02
Nicaragua,15671583878.0,$15.67 billion,3.75,6730654.0,"$2,328",0.02
Guyana,15357537068.0,$15.36 billion,57.8,821637.0,"$18,691",0.02
Madagascar,14954967604.0,$14.95 billion,3.8,30437261.0,$491,0.01
Congo,14615532210.0,$14.62 billion,1.55,6035104.0,"$2,422",0.01
Moldova,14420947884.0,$14.42 billion,-5.95,3039985.0,"$4,744",0.01
Niger,13969605583.0,$13.97 billion,11.5,25311973.0,$552,0.01
North Macedonia,13563132057.0,$13.56 billion,2.15,1840233.0,"$7,370",0.01
Rwanda,13312796765.0,$13.31 billion,8.16,13651030.0,$975,0.01
Malawi,13164667627.0,$13.16 billion,0.92,20568728.0,$640,0.01
Mauritius,12898307089.0,$12.90 billion,8.69,1276130.0,"$10,107",0.01
Bahamas,12897400000.0,$12.90 billion,14.37,397538.0,"$32,443",0.01
Chad,12704149842.0,$12.70 billion,2.24,18455316.0,$688,0.01
Namibia,12607436976.0,$12.61 billion,4.56,2889662.0,"$4,363",0.01
Equatorial Guinea,11813908448.0,$11.81 billion,3.15,1803545.0,"$6,550",0.01
Kyrgyzstan,10930644915.0,$10.93 billion,7.02,6955788.0,"$1,571",0.01
Tajikistan,10492123388.0,$10.49 billion,8.0,10182222.0,"$1,030",0.01
Mauritania,10375460680.0,$10.38 billion,5.2,4875637.0,"$2,128",0.01
Togo,8126439481.0,$8.13 billion,5.81,9089738.0,$894,0.01
Maldives,6189865408.0,$6.19 billion,12.3,524106.0,"$11,810",0.01
Montenegro,6095978868.0,$6.10 billion,6.09,614648.0,"$9,918",0.01
Barbados,5637914515.0,$5.64 billion,10.0,282318.0,"$19,970",0.01
Fiji,4943248200.0,$4.94 billion,16.12,919422.0,"$5,376",0.0
Eswatini,4854167638.0,$4.85 billion,3.91,1218917.0,"$3,982",0.0
Liberia,4001047150.0,$4.00 billion,4.81,5373294.0,$745,0.0
Sierra Leone,3970343852.0,$3.97 billion,3.5,8276807.0,$480,0.0
Suriname,3620655116.0,$3.62 billion,1.89,623164.0,"$5,810",0.0
Andorra,3352032737.0,$3.35 billion,8.81,79705.0,"$42,055",0.0
Timor-Leste,3163324631.0,$3.16 billion,-17.49,1369295.0,"$2,310",0.0
Burundi,3073414678.0,$3.07 billion,1.85,13321097.0,$231,0.0
Belize,2824081836.0,$2.82 billion,12.13,402733.0,"$7,012",0.0
Lesotho,2553459763.0,$2.55 billion,0.59,2286110.0,"$1,117",0.0
Central African Republic,2382618615.0,$2.38 billion,0.0,5098039.0,$467,0.0
Cabo Verde,2314816792.0,$2.31 billion,17.71,519741.0,"$4,454",0.0
Gambia,2273060863.0,$2.27 billion,4.92,2636470.0,$862,0.0
Saint Lucia,2065027556.0,$2.07 billion,15.4,178781.0,"$11,551",0.0
Antigua and Barbuda,1757603704.0,$1.76 billion,8.46,92840.0,"$18,932",0.0
Guinea-Bissau,1633559092.0,$1.63 billion,3.5,2105529.0,$776,0.0
Solomon Islands,1595710784.0,$1.60 billion,-4.06,781066.0,"$2,043",0.0
Seychelles,1588406479.0,$1.59 billion,8.8,125522.0,"$12,654",0.0
Grenada,1256413185.0,$1.26 billion,5.8,116913.0,"$10,747",0.0
Comoros,1242519407.0,$1.24 billion,2.39,834188.0,"$1,489",0.0
Vanuatu,983582865.0,$984 million,1.85,313046.0,"$3,142",0.0
Saint Kitts & Nevis,961563259.0,$962 million,9.0,46709.0,"$20,586",0.0
St. Vincent & Grenadines,948558503.0,$949 million,4.95,102046.0,"$9,295",0.0
Samoa,832421565.0,$832 million,-6.02,215261.0,"$3,867",0.0
Dominica,612048148.0,$612 million,5.94,66826.0,"$9,159",0.0
Sao Tome & Principe,546680342.0,$547 million,0.93,226305.0,"$2,416",0.0
Micronesia,427094119.0,$427 million,-0.62,523477.0,$816,0.0
Marshall Islands,279667900.0,$280 million,1.5,40077.0,"$6,978",0.0
Kiribati,223352943.0,$223 million,1.56,130469.0,"$1,712",0.0
Tuvalu,60349391.0,$60 million,0.68,9992.0,"$6,040",0.0
